"id","order_id","user_id","product_id","inventory_item_id","status","created_at","sale_price"
1,1,1,2953,3,"Shipped","2022-07-20 10:32:05+00:00","15.0"
3,1,1,7656,9,"Shipped","2022-07-19 11:29:28+00:00","19.989.999.771.118.100"
2,1,1,4731,7,"Shipped","2022-07-20 11:05:38+00:00","125.0"
4,2,2,25774,11,"Complete","2022-02-20 10:28:57+00:00","22.0"
5,3,3,22308,13,"Processing","2023-04-23 09:04:57+00:00","599.900.016.784.668"
6,4,3,26696,15,"Processing","2023-08-08 06:13:20+00:00","108.75"
7,5,3,18177,18,"Shipped","2023-03-10 07:14:45+00:00","10.998.999.786.376.900"
8,6,3,21364,21,"Complete","2023-04-03 07:50:36+00:00","59.5"
9,6,3,28050,23,"Complete","2023-04-05 07:41:13+00:00","63.970.001.220.703.100"
10,7,4,1035,26,"Complete","2022-10-18 06:17:54+00:00","148.0"
13,8,5,6998,36,"Cancelled","2022-10-22 07:55:58+00:00","15.670.000.076.293.900"
11,8,5,7173,29,"Cancelled","2022-10-20 06:35:35+00:00","24.989.999.771.118.100"
12,8,5,1488,33,"Cancelled","2022-10-24 07:19:09+00:00","24.989.999.771.118.100"
15,9,6,17944,41,"Shipped","2022-04-11 01:07:13+00:00","449.900.016.784.668"
14,9,6,28494,39,"Shipped","2022-04-10 02:38:35+00:00","9.983.000.183.105.460"
16,10,7,20018,43,"Shipped","2022-02-26 15:20:46+00:00","8.420.999.908.447.260"
17,11,8,16199,45,"Cancelled","2021-07-15 15:03:24+00:00","29.5"
18,11,8,18243,48,"Cancelled","2021-07-15 16:45:48+00:00","5.118.999.862.670.890"
20,12,9,24745,56,"Cancelled","2023-11-06 17:05:17+00:00","18.0"
19,12,9,17577,52,"Cancelled","2023-11-06 16:52:58+00:00","53.950.000.762.939.400"
21,13,9,27507,58,"Cancelled","2020-05-26 16:55:13+00:00","55.0"
24,13,9,22961,66,"Cancelled","2020-05-24 14:04:22+00:00","5.659.999.847.412.100"
22,13,9,24194,60,"Cancelled","2020-05-26 16:14:36+00:00","9.994.999.694.824.210"
23,13,9,20051,63,"Cancelled","2020-05-27 13:59:35+00:00","259.989.990.234.375"
25,14,11,13549,69,"Returned","2024-01-11 05:54:19+00:00","132.0"
26,15,11,3682,71,"Shipped","2023-08-15 05:38:41+00:00","4.534.999.847.412.100"
27,16,12,4690,73,"Processing","2023-04-10 13:00:40+00:00","399.900.016.784.668"
28,16,12,10039,77,"Processing","2023-04-08 14:18:59+00:00","62.0"
29,17,12,4130,79,"Shipped","2023-04-23 11:44:37+00:00","11.090.000.152.587.800"
30,18,12,13017,82,"Shipped","2023-06-26 14:45:07+00:00","87.0"
31,18,12,4654,86,"Shipped","2023-06-28 14:53:13+00:00","9.748.999.786.376.950"
32,19,12,186,89,"Returned","2023-07-09 14:03:22+00:00","27.979.999.542.236.300"
