"id","cost","category","name","brand","retail_price","department","sku","distribution_center_id"
1,"2.704.799.991.566.680","Tops & Tees","Seven7 Women's Long Sleeve Stripe Belted Top","Seven7","49.0","Women","C4CA4238A0B923820DCC509A6F75849B",1
3,"41.004.999.860.189.800","Tops & Tees","Calvin Klein Jeans Women's Solid Flyaway Shirt","Calvin Klein Jeans","69.5","Women","ECCBC87E4B5CE2FE28308FD9F2A7BAF3",8
50,"3.111.849.989.183.240","Tops & Tees","Calvin Klein Women's MSY 3/4 Sleeve Top","Calvin Klein","59.5","Women","C0C7C76D30BD3DCAEFC96F40275BDC0A",3
71,"905.339.998.304.844","Tops & Tees","Plenty by Tracy Reese Women's Easy Shirt","Plenty by Tracy Reese","158.0","Women","E2C420D928D4BF8CE0FF2EC19B371514",1
78,"41.039.999.887.347.200","Tops & Tees","Splendid Women's Boxy Pocket Top","Splendid","72.0","Women","35F4A8D465E6E1EDC05F3D8AB658C551",10
80,"29.429.999.945.685.200","Tops & Tees","Democracy Women's French Terry Top with Contrast Woven Shoulder and Laser Cut Design","Democracy","54.0","Women","F033AB37C30201F73F142449D037028D",2
90,"5.903.040.066.120.620","Tops & Tees","Wilt Women's Long Sleeve Back Slant","Wilt","11.440.000.152.587.800","Women","8613985EC49EB8F757AE6439E879BB2A",6
111,"13.344.659.830.857.200","Tops & Tees","Mango Women's Printed T-Shirt With Bows - Colibri-N","MANGO","24.989.999.771.118.100","Women","698D51A19D8A121CE581499D7B701668",9
118,"25.467.220.628.528.500","Tops & Tees","Kenneth Cole Women's 3/4 Sleeve Tiered Top","Kenneth Cole","46.220.001.220.703.100","Women","5EF059938BA799AAA845E1C2E8A762BD",6
129,"16.254.579.858.964.300","Tops & Tees","Woman Within Plus Size Top 2-in-1 t-shirt with lace trim","Woman Within","29.989.999.771.118.100","Women","D1F491A404D6854880943E5C3CD9CA25",5
139,"31.551.999.878.138.300","Tops & Tees","allen allen Women's Rugby Stripe Long Sleeve Thumbhole Tee","Allen Allen","58.0","Women","E00DA03B685A0DD18FB6A08AF0923DE0",7
148,"27.094.580.881.422.400","Tops & Tees","Alternative Ladies' Rib-Sleeve Scoopneck Long-Sleeve T-Shirt with Thumbholes","Alternative","499.900.016.784.668","Women","47D1E990583C9C67424D369F3414728E",2
174,"1.568.476.982.577.470","Tops & Tees","Chestnut Hill Ladies Performance Plus Long Sleeve Twill. CH605W","Chestnut Hill","29.989.999.771.118.100","Women","BF8229696F7A3BB4700CFDDEF19FA23F",7
186,"15.836.679.704.840.900","Tops & Tees","Patty Women Unique Corset Embroidered Back Cap Sleeve Boho Clubwear Blouse Top","Patty","27.979.999.542.236.300","Women","9872ED9FC22FC182D371C3E9ED316094",1
186,"15.836.679.704.840.900","Tops & Tees","Patty Women Unique Corset Embroidered Back Cap Sleeve Boho Clubwear Blouse Top","Patty","27.979.999.542.236.300","Women","9872ED9FC22FC182D371C3E9ED316094",1
188,"11.850.300.463.293.400","Tops & Tees","2 or 4 Pack: Zenana Cami Sets Many Colors Available 22","Zenana","19.950.000.762.939.400","Women","9DCB88E0137649590B755372B040AFAD",2
191,"13.619.549.850.123.700","Tops & Tees","Asics Women's Core Short Sleeve Shirt","ASICS","24.989.999.771.118.100","Women","0AA1883C6411F7873CB83DACB17B0AFC",1
191,"13.619.549.850.123.700","Tops & Tees","Asics Women's Core Short Sleeve Shirt","ASICS","24.989.999.771.118.100","Women","0AA1883C6411F7873CB83DACB17B0AFC",1
196,"6.366.689.872.389.130","Tops & Tees","Women's 17 inches camisole tank top with built-in bra and adjustable straps","High Style","11.989.999.771.118.100","Women","084B6FBB10729ED4DA8C3D3F5A3AE7C9",2
196,"6.366.689.872.389.130","Tops & Tees","Women's 17 inches camisole tank top with built-in bra and adjustable straps","High Style","11.989.999.771.118.100","Women","084B6FBB10729ED4DA8C3D3F5A3AE7C9",2
213,"7.711.200.237.880.640","Tops & Tees","Next Level Apparel Ladies Extreme Soft V-Neck T-Shirt. 3400L","Next Level","13.770.000.457.763.600","Women","979D472A84804B9F647BC185A877A8B5",6
213,"7.711.200.237.880.640","Tops & Tees","Next Level Apparel Ladies Extreme Soft V-Neck T-Shirt. 3400L","Next Level","13.770.000.457.763.600","Women","979D472A84804B9F647BC185A877A8B5",6
222,"1.498.265.968.215.100","Tops & Tees","Patty Women Fitted One shoulder Ruched Arm Long Sleeve Blouse Top","Patty","28.979.999.542.236.300","Women","BCBE3365E6AC95EA2C0343A2395834DD",1
222,"1.498.265.968.215.100","Tops & Tees","Patty Women Fitted One shoulder Ruched Arm Long Sleeve Blouse Top","Patty","28.979.999.542.236.300","Women","BCBE3365E6AC95EA2C0343A2395834DD",1
245,"5.478.199.986.391.700","Tops & Tees","Lilly Pulitzer Women's Noelle Tunic","Lilly Pulitzer","98.0","Women","0266E33D3F546CB5436A10798E657D97",9
245,"5.478.199.986.391.700","Tops & Tees","Lilly Pulitzer Women's Noelle Tunic","Lilly Pulitzer","98.0","Women","0266E33D3F546CB5436A10798E657D97",9
249,"1.745.417.982.299.590","Tops & Tees","Ayurvastram Pure Cotton Shirt Tunic Top Kurti","Ayurvastram","29.989.999.771.118.100","Women","077E29B11BE80AB57E1A2ECABB7DA330",8
252,"13.694.519.838.451.800","Tops & Tees","Woman Within Plus Size Top tunic length in softest sweatshirt fleece","Woman Within","24.989.999.771.118.100","Women","03C6B06952C750899BB03D998E631860",5
252,"13.694.519.838.451.800","Tops & Tees","Woman Within Plus Size Top tunic length in softest sweatshirt fleece","Woman Within","24.989.999.771.118.100","Women","03C6B06952C750899BB03D998E631860",5
267,"8.700.120.003.008.390","Tops & Tees","Next Level The Deep V","Next Level","15.210.000.038.146.900","Women","EDA80A3D5B344BC40F3BC04F65B7A357",6
267,"8.700.120.003.008.390","Tops & Tees","Next Level The Deep V","Next Level","15.210.000.038.146.900","Women","EDA80A3D5B344BC40F3BC04F65B7A357",6
280,"7.568.589.865.960.030","Tops & Tees","Woman Within Plus Size Top Perfect t-shirt with crew neck","Woman Within","13.989.999.771.118.100","Women","92C8C96E4C37100777C7190B76D28233",5
280,"7.568.589.865.960.030","Tops & Tees","Woman Within Plus Size Top Perfect t-shirt with crew neck","Woman Within","13.989.999.771.118.100","Women","92C8C96E4C37100777C7190B76D28233",5
290,"18.431.999.936.699.800","Tops & Tees","Danskin Women's Ice Stripes Fitness Tank","Danskin","36.0","Women","F90F2ACA5C640289D0A29417BCB63A37",2
299,"16.361.999.966.204.100","Tops & Tees","Volcom Juniors Pocket Blocket Long Sleeve Tee","Volcom","27.0","Women","EF0D3930A7B6C95BD2B32ED45989C61F",4
320,"5.449.500.044.614.070","Tops & Tees","Allegra K Lady Burgundy Boat Neck Bead Accent Off Shoulder Top S","Allegra K","10.380.000.114.440.900","Women","320722549D1751CF3F247855F937B982",9
320,"5.449.500.044.614.070","Tops & Tees","Allegra K Lady Burgundy Boat Neck Bead Accent Off Shoulder Top S","Allegra K","10.380.000.114.440.900","Women","320722549D1751CF3F247855F937B982",9
322,"15.094.750.472.731.800","Tops & Tees","Doctor Who T-Shirt - Logo of Words Black Junior Tee","Doctor Who","24.950.000.762.939.400","Women","5737C6EC2E0716F3D8A7A5C4E0DE0D9A",3
322,"15.094.750.472.731.800","Tops & Tees","Doctor Who T-Shirt - Logo of Words Black Junior Tee","Doctor Who","24.950.000.762.939.400","Women","5737C6EC2E0716F3D8A7A5C4E0DE0D9A",3
326,"5.029.499.945.670.360","Tops & Tees","Allegra K Lady Woman Boat Neck Short Batwing Sleeve Loose T Shirt","Allegra K","9.579.999.923.706.050","Women","A666587AFDA6E89AEC274A3657558A27",9
326,"5.029.499.945.670.360","Tops & Tees","Allegra K Lady Woman Boat Neck Short Batwing Sleeve Loose T Shirt","Allegra K","9.579.999.923.706.050","Women","A666587AFDA6E89AEC274A3657558A27",9
328,"44.847.701.107.296.300","Tops & Tees","Allegra K Women Off Shoulder Long Sleeve Stretchy Tunic Shirt Black XS","Allegra K","8.510.000.228.881.830","Women","CD00692C3BFE59267D5ECFAC5310286C",9
334,"22.394.400.886.310.600","Tops & Tees","Devon & Jones Classic Ladies' Premium Twill. D590W","Devon & Jones","399.900.016.784.668","Women","2F2B265625D76A6704B08093C652FD79",7
362,"121.739.098.081.851","Tops & Tees","Next Level 4501 - Ladies' Long Sleeve Cotton Burnout Combo T-Shirt","Next Level","19.989.999.771.118.100","Women","C3E878E27F52E2A57ACE4D9A76FD9ACF",6
362,"121.739.098.081.851","Tops & Tees","Next Level 4501 - Ladies' Long Sleeve Cotton Burnout Combo T-Shirt","Next Level","19.989.999.771.118.100","Women","C3E878E27F52E2A57ACE4D9A76FD9ACF",6
364,"7.144.739.962.125.420","Tops & Tees","Allegra K Women Boat Neck Off Shoulder Tunic Shirt Black White Gray XS","Allegra K","11.789.999.961.853.000","Women","BAC9162B47C56FC8A4D2A519803D51B3",9
364,"7.144.739.962.125.420","Tops & Tees","Allegra K Women Boat Neck Off Shoulder Tunic Shirt Black White Gray XS","Allegra K","11.789.999.961.853.000","Women","BAC9162B47C56FC8A4D2A519803D51B3",9
365,"3.979.196.871.971.960","Tops & Tees","Dare To Wear Gothic Victorian Women's Plus Size Electra Corset Top","Dare to Wear","6.598.999.786.376.950","Women","9BE40CEE5B0EEE1462C82C6964087FF9",2
382,"1.755.701.970.770.530","Tops & Tees","Patty Women Cowl Neck Off Shoulders Long Sleeves Top","Patty","31.979.999.542.236.300","Women","4F6FFE13A5D75B2D6A3923922B3922E5",1
382,"1.755.701.970.770.530","Tops & Tees","Patty Women Cowl Neck Off Shoulders Long Sleeves Top","Patty","31.979.999.542.236.300","Women","4F6FFE13A5D75B2D6A3923922B3922E5",1
396,"17.034.319.841.170.900","Tops & Tees","Ed Hardy Womens NYC Long Sleeve Tee Shirt-Black","Ed Hardy","29.989.999.771.118.100","Women","F8C1F23D6A8D8D7904FC0EA8E066B3BB",5
396,"17.034.319.841.170.900","Tops & Tees","Ed Hardy Womens NYC Long Sleeve Tee Shirt-Black","Ed Hardy","29.989.999.771.118.100","Women","F8C1F23D6A8D8D7904FC0EA8E066B3BB",5
397,"10.939.499.974.774.600","Tops & Tees","G by GUESS Joni Love Tee","G by GUESS","45.431","Women","E46DE7E1BCAACED9A54F1E9D0D2F800D",3
397,"10.939.499.974.774.600","Tops & Tees","G by GUESS Joni Love Tee","G by GUESS","45.431","Women","E46DE7E1BCAACED9A54F1E9D0D2F800D",3
404,"7.540.679.920.064.910","Tops & Tees","Allegra K Woman Gray Boat Neck Bating Long Sleeves Autumn Shirt Blouse S","Allegra K","13.369.999.885.559.000","Women","4F4ADCBF8C6F66DCFC8A3282AC2BF10A",9
404,"7.540.679.920.064.910","Tops & Tees","Allegra K Woman Gray Boat Neck Bating Long Sleeves Autumn Shirt Blouse S","Allegra K","13.369.999.885.559.000","Women","4F4ADCBF8C6F66DCFC8A3282AC2BF10A",9
410,"6.099.320.131.671.910","Tops & Tees","Collections Etc - Tonal Sequin Tunic Top W/ Comfortable Side Slits","Samanthas Style Shoppe","10.970.000.267.028.800","Women","1068C6E4C8051CFD4E9EA8072E3189E2",6
410,"6.099.320.131.671.910","Tops & Tees","Collections Etc - Tonal Sequin Tunic Top W/ Comfortable Side Slits","Samanthas Style Shoppe","10.970.000.267.028.800","Women","1068C6E4C8051CFD4E9EA8072E3189E2",6
411,"5.784.209.847.976.410","Tops & Tees","Lilu Womens Pocket Henley Print Tee","PacSun","9.989.999.771.118.160","Women","17D63B1625C816C22647A73E1482372B",7
417,"5.089.139.820.233.580","Tops & Tees","Allegra K Ladies See Through Mesh Long Sleeve Pullover Shirt Black M","Allegra K","8.819.999.694.824.210","Women","41AE36ECB9B3EEE609D05B90C14222FB",9
417,"5.089.139.820.233.580","Tops & Tees","Allegra K Ladies See Through Mesh Long Sleeve Pullover Shirt Black M","Allegra K","8.819.999.694.824.210","Women","41AE36ECB9B3EEE609D05B90C14222FB",9
420,"6.120.399.755.901.090","Tops & Tees","Allegra K Woman Leopard Print Collar Long Sleeve Pleated Blouse Yellow S","Allegra K","114.399.995.803.833","Women","B6F0479AE87D244975439C6124592772",9
420,"6.120.399.755.901.090","Tops & Tees","Allegra K Woman Leopard Print Collar Long Sleeve Pleated Blouse Yellow S","Allegra K","114.399.995.803.833","Women","B6F0479AE87D244975439C6124592772",9
421,"2.462.276.088.931.940","Tops & Tees","Lucky Brand Women's Ikat Garden Sylvia Top","Lucky Brand","469.900.016.784.668","Women","E0C641195B27425BB056AC56F8953D24",5
432,"2.792.999.992.333.350","Tops & Tees","Panache Women's Cotton Lycra Camisole With Built In Bra","Panache","49.0","Women","248E844336797EC98478F85E7626DE4A",6
432,"2.792.999.992.333.350","Tops & Tees","Panache Women's Cotton Lycra Camisole With Built In Bra","Panache","49.0","Women","248E844336797EC98478F85E7626DE4A",6
436,"3.431.999.981.403.350","Tops & Tees","Hot Chillys Women's La Montana Panel Zip-Tee","Hot Chillys","65.0","Women","2421FCB1263B9530DF88F7F002E78EA5",3
437,"11.124.699.864.617.700","Tops & Tees","Bella Ladies' 1Ã—1 Rib 3/4 Sleeve Raglan T-Shirt 2000","Bella","20.989.999.771.118.100","Women","FCCB60FB512D13DF5083790D64C4D5DD",4
437,"11.124.699.864.617.700","Tops & Tees","Bella Ladies' 1Ã—1 Rib 3/4 Sleeve Raglan T-Shirt 2000","Bella","20.989.999.771.118.100","Women","FCCB60FB512D13DF5083790D64C4D5DD",4
447,"47.783.999.800.682.000","Tops & Tees","Karen Kane Women's Long Sleeve Mesh Wrap","Karen Kane","88.0","Women","9A96876E2F8F3DC4F3CF45F02C61C0C1",4
447,"47.783.999.800.682.000","Tops & Tees","Karen Kane Women's Long Sleeve Mesh Wrap","Karen Kane","88.0","Women","9A96876E2F8F3DC4F3CF45F02C61C0C1",4
454,"11.874.059.874.171.900","Tops & Tees","Moon Shine Attitude Attire Muddy Girl Camo Short Sleeve","Moon Shine Attitude Attire","19.989.999.771.118.100","Women","E44FEA3BEC53BCEA3B7513CCEF5857AC",6
463,"1.312.370.032.174.430","Tops & Tees","2B Button Front Foldover Sweater","2b by bebe","24.950.000.762.939.400","Women","428FCA9BC1921C25C5121F9DA7815CDE",5
463,"1.312.370.032.174.430","Tops & Tees","2B Button Front Foldover Sweater","2b by bebe","24.950.000.762.939.400","Women","428FCA9BC1921C25C5121F9DA7815CDE",5
470,"16.346.159.834.634.600","Tops & Tees","Port Authority Ladies Short Sleeve Value Poplin Shirt. L633","Port Authority","27.989.999.771.118.100","Women","26337353B7962F533D78C762373B3318",6
470,"16.346.159.834.634.600","Tops & Tees","Port Authority Ladies Short Sleeve Value Poplin Shirt. L633","Port Authority","27.989.999.771.118.100","Women","26337353B7962F533D78C762373B3318",6
502,"2.092.999.991.029.500","Tops & Tees","Womens Jackie New Sunrise L/S Tee","Life Is Good","35.0","Women","B5B41FAC0361D157D9673ECB926AF5AE",9
502,"2.092.999.991.029.500","Tops & Tees","Womens Jackie New Sunrise L/S Tee","Life Is Good","35.0","Women","B5B41FAC0361D157D9673ECB926AF5AE",9
506,"3.869.999.871.142.200","Tops & Tees","Ladies Seamless Tunic Cami 25 Inch Long Unstretched Multiple Colors Available","FineBrandShop","6.449.999.809.265.130","Women","FF4D5FBBAFDF976CFDC032E3BDE78DE5",7
506,"3.869.999.871.142.200","Tops & Tees","Ladies Seamless Tunic Cami 25 Inch Long Unstretched Multiple Colors Available","FineBrandShop","6.449.999.809.265.130","Women","FF4D5FBBAFDF976CFDC032E3BDE78DE5",7
512,"4.660.319.940.977.090","Tops & Tees","Allegra K Beige Self Tie Knot Stand Collar Sheer Lace Shirt for Women","Allegra K","9.119.999.885.559.080","Women","10A7CDD970FE135CF4F7BB55C0E3B59F",9
512,"4.660.319.940.977.090","Tops & Tees","Allegra K Beige Self Tie Knot Stand Collar Sheer Lace Shirt for Women","Allegra K","9.119.999.885.559.080","Women","10A7CDD970FE135CF4F7BB55C0E3B59F",9
517,"110.355.999.879.539","Tops & Tees","Trina Turk Women's Crystal Blouse","Trina Turk","188.0","Women","38913E1D6A7B94CB0F55994F679F5956",3
517,"110.355.999.879.539","Tops & Tees","Trina Turk Women's Crystal Blouse","Trina Turk","188.0","Women","38913E1D6A7B94CB0F55994F679F5956",3
524,"7.191.239.725.003.240","Tops & Tees","Allegra K Woman Stripes Print Scoop Neck Padded Shoulder Slim Tunic Shirt Black White L","Allegra K","12.229.999.542.236.300","Women","BA2FD310DCAA8781A9A652A31BAF3C68",9
524,"7.191.239.725.003.240","Tops & Tees","Allegra K Woman Stripes Print Scoop Neck Padded Shoulder Slim Tunic Shirt Black White L","Allegra K","12.229.999.542.236.300","Women","BA2FD310DCAA8781A9A652A31BAF3C68",9
532,"15.248.739.787.163.400","Tops & Tees","Port Authority Ladies Short Sleeve Cotton Pique Knit Sport Shirt Polo","Port Authority","28.989.999.771.118.100","Women","298F95E1BF9136124592C8D4825A06FC",6
535,"10.454.769.843.954.100","Tops & Tees","Moon Shine Attitude Attire Muddy Girl Camo Edge Black Short Sleeve","Moon Shine Attitude Attire","19.989.999.771.118.100","Women","33E8075E9970DE0CFEA955AFD4644BB2",6
