"id","order_id","user_id","product_id","inventory_item_id","status","created_at","sale_price"
1,1,1,2953,3,"Shipped","2022-07-20 10:32:05+00:00",171.976217672389
3,1,1,7656,9,"Shipped","2022-07-19 11:29:28+00:00",188.491125525836
2,1,1,4731,7,"Shipped","2022-07-20 11:05:38+00:00",277.935415707456
4,2,2,25774,11,"Complete","2022-02-20 10:28:57+00:00",203.525419571229
5,3,3,22308,13,"Processing","2023-04-23 09:04:57+00:00",206.464386758047
6,4,3,26696,15,"Processing","2023-08-08 06:13:20+00:00",285.753249344164
7,5,3,18177,18,"Shipped","2023-03-10 07:14:45+00:00",223.04581029946
8,6,3,21364,21,"Complete","2023-04-03 07:50:36+00:00",136.746938269673
9,6,3,28050,23,"Complete","2023-04-05 07:41:13+00:00",165.657357405324
10,7,4,1035,26,"Complete","2022-10-18 06:17:54+00:00",177.716901495002
13,8,5,6998,36,"Cancelled","2022-10-22 07:55:58+00:00",261.204089871973
11,8,5,7173,29,"Cancelled","2022-10-20 06:35:35+00:00",217.990691352868
12,8,5,1488,33,"Cancelled","2022-10-24 07:19:09+00:00",220.038572529703
15,9,6,17944,41,"Shipped","2022-04-11 01:07:13+00:00",205.534135797256
14,9,6,28494,39,"Shipped","2022-04-10 02:38:35+00:00",172.207943262296
16,10,7,20018,43,"Shipped","2022-02-26 15:20:46+00:00",289.345656840154
17,11,8,16199,45,"Cancelled","2021-07-15 15:03:24+00:00",224.892523911462
18,11,8,18243,48,"Cancelled","2021-07-15 16:45:48+00:00",101.669142168518
20,12,9,24745,56,"Cancelled","2023-11-06 17:05:17+00:00",235.067795078184
19,12,9,17577,52,"Cancelled","2023-11-06 16:52:58+00:00",176.360429613603
21,13,9,27507,58,"Cancelled","2020-05-26 16:55:13+00:00",146.608814700658
24,13,9,22961,66,"Cancelled","2020-05-24 14:04:22+00:00",189.101254267085
22,13,9,24194,60,"Cancelled","2020-05-26 16:14:36+00:00",148.699777584638
23,13,9,20051,63,"Cancelled","2020-05-27 13:59:35+00:00",163.555438535443
25,14,11,13549,69,"Returned","2024-01-11 05:54:19+00:00",168.748036607537
26,15,11,3682,71,"Shipped","2023-08-15 05:38:41+00:00",115.665334462879
27,16,12,4690,73,"Processing","2023-04-10 13:00:40+00:00",241.889352224726
28,16,12,10039,77,"Processing","2023-04-08 14:18:59+00:00",207.668655891826
29,17,12,4130,79,"Shipped","2023-04-23 11:44:37+00:00",143.093153149403
30,18,12,13017,82,"Shipped","2023-06-26 14:45:07+00:00",262.690746053496
31,18,12,4654,86,"Shipped","2023-06-28 14:53:13+00:00",221.323211073841
32,19,12,186,89,"Returned","2023-07-09 14:03:22+00:00",185.246425850386
33,20,13,15053,93,"Processing","2024-01-16 12:34:05.787985+00:00",244.756283052251
34,21,13,11464,97,"Shipped","2024-01-16 11:37:12.787985+00:00",243.906674376652
35,22,15,19737,99,"Processing","2022-06-16 06:25:58+00:00",241.079054081874
36,23,16,24573,101,"Shipped","2023-06-02 17:42:43+00:00",234.432012705005
38,24,17,28283,105,"Complete","2019-06-18 11:18:10+00:00",227.695882676879
37,24,17,24171,103,"Complete","2019-06-17 08:42:54+00:00",196.904414471164
41,25,17,29058,114,"Complete","2020-10-29 12:27:02+00:00",184.701866813004
39,25,17,23584,108,"Complete","2020-10-29 08:44:10+00:00",180.976449949381
42,25,17,23645,116,"Complete","2020-10-31 09:06:04+00:00",165.264651053974
40,25,17,18612,112,"Complete","2020-10-31 08:42:05+00:00",189.60413609902
43,26,17,16381,120,"Shipped","2020-09-18 10:15:08+00:00",136.730182421587
44,27,18,22153,123,"Shipped","2023-08-29 05:08:45+00:00",308.447798266926
45,28,18,16318,126,"Complete","2023-07-04 06:10:10+00:00",260.39809991525
46,29,19,1801,129,"Returned","2022-07-26 15:23:44+00:00",143.844570839833
47,30,20,25763,132,"Shipped","2023-08-11 08:35:46+00:00",179.855758235046
48,30,20,25914,134,"Shipped","2023-08-11 08:43:53+00:00",176.667232318839
49,31,22,21427,138,"Shipped","2023-11-30 13:35:12+00:00",238.998255916816
50,32,22,26055,141,"Processing","2024-01-15 13:23:31+00:00",195.831546676409
52,33,22,28498,146,"Shipped","2023-12-27 15:03:27+00:00",212.665925699738
51,33,22,20402,144,"Shipped","2023-12-26 14:17:33+00:00",198.572662232565
53,34,24,9700,149,"Returned","2023-02-10 02:58:45+00:00",197.856477135434
54,35,24,5119,151,"Complete","2023-11-19 03:44:24+00:00",268.430114200723
55,36,25,24822,154,"Processing","2023-07-14 06:06:47+00:00",188.711450717037
56,37,26,668,158,"Processing","2024-01-17 06:33:21+00:00",275.823530221477
57,38,27,26462,160,"Processing","2022-02-08 11:10:23+00:00",122.562359788489
58,39,29,5916,163,"Complete","2022-08-06 17:57:12+00:00",229.230687481803
59,40,29,796,165,"Processing","2020-03-19 15:02:29+00:00",206.192712192231
61,41,30,14357,171,"Processing","2023-06-02 09:27:36+00:00",210.797078437199
60,41,30,191,168,"Processing","2023-05-31 11:24:43+00:00",218.981974137994
62,41,30,15295,174,"Processing","2023-06-01 09:23:31+00:00",174.883827344535
63,41,30,7708,178,"Processing","2023-05-31 10:36:30+00:00",183.339630816529
64,42,32,807,181,"Processing","2021-11-27 14:59:29+00:00",149.071230844646
65,43,33,20850,185,"Processing","2021-01-25 22:25:19+00:00",146.410438676221
69,44,33,17957,195,"Shipped","2021-10-15 22:19:34+00:00",215.176432070213
67,44,33,22083,189,"Shipped","2021-10-16 00:04:57+00:00",222.410488931471
68,44,33,25305,191,"Shipped","2021-10-19 02:10:01+00:00",202.650211336525
66,44,33,21680,187,"Shipped","2021-10-16 23:44:27+00:00",246.113373393987
70,45,34,9336,199,"Complete","2023-06-08 07:57:34+00:00",302.504234281357
71,46,34,463,202,"Processing","2023-05-13 09:40:40+00:00",175.448441697173
