order_id;user_id;status;gender;created_at;returned_at;shipped_at;delivered_at;num_of_item
1;1;Shipped;F;2022-07-18 12:55:00+00:00;;2022-07-20 16:42:00+00:00;;3
2;2;Complete;M;2022-02-20 10:34:00+00:00;;2022-02-22 12:23:00+00:00;2022-02-23 18:29:00+00:00;1
6;3;Complete;M;2023-04-02 09:13:00+00:00;;2023-04-04 05:53:00+00:00;2023-04-06 03:42:00+00:00;2
3;3;Processing;M;2023-04-23 09:13:00+00:00;;;;1
4;3;Processing;M;2023-08-08 09:13:00+00:00;;;;1
5;3;Shipped;M;2023-03-10 09:13:00+00:00;;2023-03-11 12:33:00+00:00;;1
7;4;Complete;F;2022-10-18 09:31:00+00:00;;2022-10-19 00:36:00+00:00;2022-10-20 13:24:00+00:00;1
8;5;Cancelled;F;2022-10-20 10:03:00+00:00;;;;3
9;6;Shipped;M;2022-04-08 04:38:00+00:00;;2022-04-08 20:10:00+00:00;;2
10;7;Shipped;M;2022-02-26 16:52:00+00:00;;2022-02-26 19:42:00+00:00;;1
11;8;Cancelled;M;2021-07-15 17:15:00+00:00;;;;2
12;9;Cancelled;M;2023-11-02 17:44:00+00:00;;;;2
13;9;Cancelled;M;2020-05-23 17:44:00+00:00;;;;4
14;11;Returned;F;2024-01-11 09:06:00+00:00;2024-01-16 21:15:00+00:00;2024-01-13 09:25:00+00:00;2024-01-16 07:31:00+00:00;1
15;11;Shipped;F;2023-08-15 09:06:00+00:00;;2023-08-17 08:11:00+00:00;;1
16;12;Processing;F;2023-04-06 15:13:00+00:00;;;;2
19;12;Returned;F;2023-07-09 15:13:00+00:00;2023-07-13 13:41:00+00:00;2023-07-11 15:58:00+00:00;2023-07-13 08:36:00+00:00;1
17;12;Shipped;F;2023-04-23 15:13:00+00:00;;2023-04-24 09:38:00+00:00;;1
18;12;Shipped;F;2023-06-24 15:13:00+00:00;;2023-06-25 15:37:00+00:00;;2
20;13;Processing;F;2024-01-16 12:54:23.787985+00:00;;;;1
21;13;Shipped;F;2024-01-16 12:54:23.787985+00:00;;2024-01-17 20:17:23.787985+00:00;;1
22;15;Processing;M;2022-06-16 08:38:00+00:00;;;;1
23;16;Shipped;M;2023-06-02 18:57:00+00:00;;2023-06-04 02:40:00+00:00;;1
24;17;Complete;M;2019-06-15 12:17:00+00:00;;2019-06-15 13:55:00+00:00;2019-06-16 12:28:00+00:00;2
25;17;Complete;M;2020-10-29 12:17:00+00:00;;2020-10-31 14:57:00+00:00;2020-11-03 02:50:00+00:00;4
26;17;Shipped;M;2020-09-18 12:17:00+00:00;;2020-09-20 20:20:00+00:00;;1
28;18;Complete;M;2023-07-04 07:59:00+00:00;;2023-07-06 04:01:00+00:00;2023-07-09 05:35:00+00:00;1
27;18;Shipped;M;2023-08-29 07:59:00+00:00;;2023-08-31 10:07:00+00:00;;1
29;19;Returned;F;2022-07-26 18:56:00+00:00;2022-08-01 21:04:00+00:00;2022-07-29 11:46:00+00:00;2022-07-31 03:57:00+00:00;1
30;20;Shipped;M;2023-08-09 10:23:00+00:00;;2023-08-10 23:25:00+00:00;;2
32;22;Processing;M;2024-01-15 15:14:00+00:00;;;;1
31;22;Shipped;M;2023-11-30 15:14:00+00:00;;2023-12-01 09:58:00+00:00;;1
33;22;Shipped;M;2023-12-23 15:14:00+00:00;;2023-12-26 02:14:00+00:00;;2
35;24;Complete;F;2023-11-19 04:30:00+00:00;;2023-11-21 02:49:00+00:00;2023-11-23 03:36:00+00:00;1
34;24;Returned;F;2023-02-10 04:30:00+00:00;2023-02-13 15:36:00+00:00;2023-02-11 22:25:00+00:00;2023-02-13 10:33:00+00:00;1
36;25;Processing;M;2023-07-14 08:12:00+00:00;;;;1
37;26;Processing;F;2024-01-17 09:10:00+00:00;;;;1
38;27;Processing;M;2022-02-08 11:19:00+00:00;;;;1
39;29;Complete;F;2022-08-06 18:29:00+00:00;;2022-08-09 17:37:00+00:00;2022-08-14 08:58:00+00:00;1
40;29;Processing;F;2020-03-19 18:29:00+00:00;;;;1
41;30;Processing;F;2023-05-30 12:53:00+00:00;;;;4
42;32;Processing;F;2021-11-27 16:37:00+00:00;;;;1
43;33;Processing;M;2021-01-26 01:57:00+00:00;;;;1
44;33;Shipped;M;2021-10-15 01:57:00+00:00;;2021-10-15 10:23:00+00:00;;4
45;34;Complete;F;2023-06-08 11:36:00+00:00;;2023-06-10 03:39:00+00:00;2023-06-12 22:42:00+00:00;1
46;34;Processing;F;2023-05-10 11:36:00+00:00;;;;2
47;35;Shipped;F;2023-12-27 04:36:00+00:00;;2023-12-29 06:00:00+00:00;;1
48;37;Shipped;F;2023-03-05 07:45:00+00:00;;2023-03-07 16:47:00+00:00;;1
49;38;Shipped;F;2023-12-02 06:33:00+00:00;;2023-12-03 20:25:00+00:00;;1
51;39;Complete;M;2022-08-26 00:12:00+00:00;;2022-08-27 18:08:00+00:00;2022-08-28 17:35:00+00:00;1
50;39;Shipped;M;2022-10-11 00:12:00+00:00;;2022-10-13 11:15:00+00:00;;4
52;40;Cancelled;M;2021-12-05 00:09:00+00:00;;;;1
53;40;Shipped;M;2021-12-09 00:09:00+00:00;;2021-12-11 00:16:00+00:00;;1
54;41;Returned;M;2023-11-15 17:34:00+00:00;2023-11-20 10:00:00+00:00;2023-11-16 12:58:00+00:00;2023-11-17 15:27:00+00:00;2
55;42;Complete;F;2023-10-25 16:32:00+00:00;;2023-10-26 04:52:00+00:00;2023-10-28 01:17:00+00:00;1
57;43;Complete;F;2023-07-03 02:27:00+00:00;;2023-07-03 04:16:00+00:00;2023-07-08 03:44:00+00:00;1
58;43;Complete;F;2023-04-14 02:27:00+00:00;;2023-04-15 16:06:00+00:00;2023-04-19 17:42:00+00:00;4
56;43;Processing;F;2022-04-21 02:27:00+00:00;;;;4
60;44;Cancelled;F;2023-01-20 02:12:00+00:00;;;;1
59;44;Complete;F;2023-09-11 02:12:00+00:00;;2023-09-11 12:55:00+00:00;2023-09-13 03:44:00+00:00;1
61;45;Processing;F;2024-01-15 11:22:24.883119+00:00;;;;1
62;45;Shipped;F;2024-01-14 11:22:24.883119+00:00;;2024-01-17 05:53:24.883119+00:00;;1
64;46;Cancelled;F;2021-12-06 09:11:00+00:00;;;;1
63;46;Shipped;F;2020-08-05 09:11:00+00:00;;2020-08-08 02:42:00+00:00;;1
65;48;Complete;M;2023-07-27 11:27:00+00:00;;2023-07-28 18:54:00+00:00;2023-07-28 22:32:00+00:00;1
66;48;Complete;M;2023-01-08 11:27:00+00:00;;2023-01-10 17:55:00+00:00;2023-01-12 13:50:00+00:00;1
67;49;Processing;M;2023-01-08 04:00:00+00:00;;;;2
68;49;Processing;M;2022-10-14 04:00:00+00:00;;;;1
69;50;Processing;M;2022-05-06 11:10:00+00:00;;;;1
71;51;Complete;M;2022-09-06 07:36:00+00:00;;2022-09-08 14:00:00+00:00;2022-09-11 18:39:00+00:00;1
70;51;Shipped;M;2023-05-08 07:36:00+00:00;;2023-05-10 22:41:00+00:00;;1
72;52;Shipped;M;2022-10-19 09:39:00+00:00;;2022-10-21 21:06:00+00:00;;1
73;53;Cancelled;M;2024-01-04 17:24:00+00:00;;;;1
74;53;Shipped;M;2023-06-01 17:24:00+00:00;;2023-06-03 07:44:00+00:00;;1
75;54;Complete;M;2022-11-14 09:26:00+00:00;;2022-11-16 06:39:00+00:00;2022-11-19 15:25:00+00:00;1
76;54;Shipped;M;2023-03-15 09:26:00+00:00;;2023-03-16 02:05:00+00:00;;1
77;55;Shipped;F;2024-01-14 02:56:00+00:00;;2024-01-14 14:25:00+00:00;;1
78;56;Shipped;F;2023-11-02 06:20:00+00:00;;2023-11-04 18:01:00+00:00;;1
79;57;Complete;M;2022-05-23 05:06:00+00:00;;2022-05-23 07:30:00+00:00;2022-05-26 15:24:00+00:00;1
80;59;Cancelled;M;2021-09-13 16:01:00+00:00;;;;1
82;59;Cancelled;M;2022-09-29 16:01:00+00:00;;;;1
81;59;Returned;M;2021-12-10 16:01:00+00:00;2021-12-15 05:54:00+00:00;2021-12-13 09:43:00+00:00;2021-12-14 15:53:00+00:00;1
84;60;Complete;F;2020-04-25 16:07:00+00:00;;2020-04-28 03:22:00+00:00;2020-04-28 14:16:00+00:00;3
85;60;Complete;F;2021-12-20 16:07:00+00:00;;2021-12-23 14:35:00+00:00;2021-12-25 15:03:00+00:00;1
86;60;Complete;F;2023-04-22 16:07:00+00:00;;2023-04-24 14:42:00+00:00;2023-04-28 19:04:00+00:00;2
83;60;Shipped;F;2022-01-27 16:07:00+00:00;;2022-01-29 16:39:00+00:00;;1
87;61;Cancelled;M;2023-05-27 18:13:00+00:00;;;;2
88;62;Complete;M;2023-10-29 17:12:00+00:00;;2023-10-31 00:48:00+00:00;2023-11-04 21:39:00+00:00;2
89;65;Cancelled;F;2020-08-13 09:58:00+00:00;;;;1
90;67;Shipped;F;2023-07-21 01:02:00+00:00;;2023-07-23 18:14:00+00:00;;1
91;68;Cancelled;M;2021-02-15 03:16:00+00:00;;;;2
92;70;Shipped;M;2021-12-01 05:12:00+00:00;;2021-12-01 09:17:00+00:00;;4
93;71;Complete;F;2023-07-19 14:02:00+00:00;;2023-07-20 23:07:00+00:00;2023-07-21 08:40:00+00:00;1
95;72;Returned;M;2022-12-13 05:51:00+00:00;2022-12-19 10:39:00+00:00;2022-12-15 18:41:00+00:00;2022-12-18 17:28:00+00:00;1
